D_TRADE,STOCK,TICKER,COL_CODE,VALUE_NUMERIC,VALUE_TEXT,SOURCE,UPDATED_AT
2025-11-18,NINTENDO19,7974.T,FY1_DIV_YIELD,0.712003,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,NINTENDO19,7974.T,FY1_PE,39.52148,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,NINTENDO19,7974.T,P/BV,4.320535,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,NINTENDO19,7974.T,P/E,44,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,NINTENDO19,7974.T,ROE,14.795661,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,NINTENDO19,7974.T,SECTOR,NULL,Entertainment,NULL,2025-11-19 13:52:40.497
2025-11-18,NINTENDO19,7974.T,TARGET_PRC,14383.25,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,SIA19,SIAL.SI,FY1_DIV_YIELD,6.163328,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,SIA19,SIAL.SI,FY1_PE,19.983373,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,SIA19,SIAL.SI,P/BV,1.289491,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,SIA19,SIAL.SI,P/E,7.16,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,SIA19,SIAL.SI,ROE,3.050648,NULL,NULL,2025-11-19 13:52:40.497
2025-11-18,SIA19,SIAL.SI,SECTOR,NULL,Passenger_Airlines,NULL,2025-11-19 13:52:40.497
2025-11-18,SIA19,SIAL.SI,TARGET_PRC,6.09546,NULL,NULL,2025-11-19 13:52:40.497
2025-11-20,TENCENT19,0700.HK,FY1_DIV_YIELD,0.724006863755108,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,TENCENT19,0700.HK,FY1_PE,20.4971199828745,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,TENCENT19,0700.HK,P/BV,3.71304169707715,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,TENCENT19,0700.HK,P/E,23.75,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,TENCENT19,0700.HK,ROE,21.9067856800413,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,TENCENT19,0700.HK,SECTOR,NULL,Interactive Media & Services,NULL,2025-11-20 16:27:03.563
2025-11-20,TENCENT19,0700.HK,TARGET_PRC,729.71622,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHMOBILE19,0941.HK,FY1_DIV_YIELD,5.89662123740757,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHMOBILE19,0941.HK,FY1_PE,11.8365364115941,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHMOBILE19,0941.HK,P/BV,1.11264455489506,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHMOBILE19,0941.HK,P/E,11.94,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHMOBILE19,0941.HK,ROE,11.9083900363399,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHMOBILE19,0941.HK,SECTOR,NULL,Wireless Telecommunication Services,NULL,2025-11-20 16:27:03.563
2025-11-20,CHMOBILE19,0941.HK,TARGET_PRC,101.05769,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,AIA19,1299.HK,FY1_DIV_YIELD,2.25119964720975,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,AIA19,1299.HK,FY1_PE,15.6050098503798,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,AIA19,1299.HK,P/BV,1.93192957491267,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,AIA19,1299.HK,P/E,17.92,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,AIA19,1299.HK,ROE,NULL,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,AIA19,1299.HK,SECTOR,NULL,Insurance,NULL,2025-11-20 16:27:03.563
2025-11-20,AIA19,1299.HK,TARGET_PRC,92.88912,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHHONGQ19,1378.HK,FY1_DIV_YIELD,5.25930187736949,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHHONGQ19,1378.HK,FY1_PE,10.6386379690431,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHHONGQ19,1378.HK,P/BV,0.971362794605592,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHHONGQ19,1378.HK,P/E,10.33,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHHONGQ19,1378.HK,ROE,22.5691857169988,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,CHHONGQ19,1378.HK,SECTOR,NULL,Metals & Mining,NULL,2025-11-20 16:27:03.563
2025-11-20,CHHONGQ19,1378.HK,TARGET_PRC,30.948,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,ICBC19,1398.HK,FY1_DIV_YIELD,4.68526174957546,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,ICBC19,1398.HK,FY1_PE,5.9140216024266,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,ICBC19,1398.HK,P/BV,0.478646698155424,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,ICBC19,1398.HK,P/E,5.98,NULL,NULL,2025-11-20 16:27:03.563
2025-11-20,ICBC19,1398.HK,ROE,8.86901911957085,NULL,NULL,2025-11-20 16:27:03.563
